NORAD_CAT_ID,SATNAME,EPOCH,Orb,Inc,Ecc,MnM,ApA,PeA,AvA,LAN,AgP,MnA,SMa,T,Vel
81037,TBA - TO BE ASSIGNED,2020-11-07T10:34:07.806432,93245.0,62.2071,0.0212186,14.76557808,789.1300742078483,491.29105494050054,640.2105645741744,211.3818,287.1166,70.6775,7018.347564574174,5851.447165284294,7536.183281297654
81052,TBA - TO BE ASSIGNED,2020-11-07T15:55:16.993632,34575.0,65.7809,0.0639323,13.60389888,1508.168046369491,560.3828910245347,1034.275468697013,297.3577,119.8867,246.7281,7412.412468697013,6351.120422324095,7333.125183765435
81069,TBA - TO BE ASSIGNED,2020-11-06T21:59:19.196160,26439.0,100.3161,0.0073754,13.4640726,1140.553699543555,1030.4589892986678,1085.5063444211114,112.4497,243.0646,116.2936,7463.643344421112,6417.077697575685,7307.914351327252
81073,TBA - TO BE ASSIGNED,2020-11-07T13:20:32.747712,49143.0,61.5743,0.4693809,5.83224982,12778.186066343038,539.5457497704529,6658.865908056745,273.6225,179.6983,180.8946,13037.002908056744,14814.180233452324,5529.425444452705
81078,TBA - TO BE ASSIGNED,2020-11-07T00:37:38.341344,28575.0,65.1169,0.0169808,11.21709995,2194.7586070839816,1908.470752436634,2051.614679760308,323.0471,48.3101,339.978,8429.751679760308,7702.525642557002,6876.405786279131
81111,TBA - TO BE ASSIGNED,2020-11-07T12:47:47.357664,14242.0,62.758,0.4662752,6.27093687,11835.459510135497,251.61992056495637,6043.539715350227,135.0888,286.1122,28.7626,12421.676715350226,13777.84560602663,5664.7242871036415
81122,TBA - TO BE ASSIGNED,2020-11-06T23:03:19.032480,31202.0,97.6328,0.0279109,14.05760025,1076.3286833077527,671.5059574465249,873.9173203771388,0.9136,70.9845,292.1342,7252.0543203771385,6146.141479588587,7413.75728235139
81123,TBA - TO BE ASSIGNED,2020-11-07T01:16:51.851424,34971.0,99.9902,0.0001519,13.77331973,974.4818422675862,972.2484559146924,973.3651490911393,262.8424,166.5806,193.5383,7351.502149091139,6272.997483083905,7363.441546633682
81134,TBA - TO BE ASSIGNED,2020-11-07T00:25:02.915040,22210.0,90.2888,0.0026861,12.92301336,1313.0075477027722,1271.7998689096084,1292.4037083061903,319.0801,216.5192,143.4094,7670.54070830619,6685.747170039286,7208.682507847376
81161,TBA - TO BE ASSIGNED,2020-11-05T00:34:15.338496,30041.0,100.4228,0.0061687,13.71405628,1040.008707627906,949.0491788199761,994.528943223941,326.593,299.781,59.7208,7372.665943223941,6300.105398138259,7352.8652937928755
