 HQ AFSPC Sgp4Prop DLL - Version: v8.0 - Build: Nov 05 2020 - Platform: Windows 64-bit                                          


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME

INPUT FILE = C:\Users\rober\Documents\MATLAB\ASTRAIOS\ASTRAIOS/historicTLE.txt
Start Time =         0.0000 min from epoch
Stop Time  =      1440.0000 min from epoch
Step size  =       360.0000 min


     EPOCH (MIN)     TSINCE (MIN)           A (KM)          ECC (-)        INC (DEG)       RAAN (DEG)      OMEGA (DEG)   TRUE ANOM(DEG)


 1 25544U 98067A   20355.58924399 +.00001054  00000 0  27090-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6442 146.1501 0001581 146.7873 305.4906 15.4920323426091                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25922.5892440        0.0000000     6791.7371508        0.0003417       51.6243324      146.1480909      104.3313045      347.9366635
     25923.5892440     1440.0000000     6791.7598423        0.0015680       51.6243871      141.1974436       97.4251685      175.6833868
     25924.5892440     2880.0000000     6791.7567273        0.0003263       51.6244561      136.2468015      100.6608511      353.2595218
     25925.5892440     4320.0000000     6791.7897234        0.0015467       51.6245463      131.2960990       99.1411390      175.6376630
     25926.5892440     5760.0000000     6791.7977541        0.0003151       51.6246513      126.3453960       96.1333494      359.4830556
     25927.5892440     7200.0000000     6791.8415499        0.0015213       51.6247790      121.3946417      100.8470110      175.6452019
     25928.5892440     8640.0000000     6791.8616174        0.0003096       51.6249227      116.4438805       90.8852657        6.4708060
     25929.5892440    10080.0000000     6791.9166529        0.0014915       51.6250895      111.4930782      102.5372116      175.7115824
     25930.5892440    11520.0000000     6791.9496306        0.0003109       51.6252745      106.5422622       85.2193328       13.9200451
     25931.5892440    12960.0000000     6792.0162820        0.0014574       51.6254822      101.5914160      104.2051017      175.8434518
     25932.5892440    14400.0000000     6792.0630129        0.0003200       51.6257109       96.6405491       79.5652349       21.4010908
     25933.5892440    15840.0000000     6792.1415839        0.0014190       51.6259607       91.6896634      105.8426131      176.0488879
     25934.5892440    17280.0000000     6792.2028656        0.0003370       51.6262356       86.7387497       74.3685098       28.4684051
     25935.5892440    18720.0000000     6792.2935790        0.0013761       51.6265285       81.7878293      107.4397716      176.3378768
     25936.5892440    20160.0000000     6792.3701479        0.0003616       51.6268517       76.8368738       69.9695286       34.7816140
     25937.5892440    21600.0000000     6792.4731373        0.0013288       51.6271885       71.8859236      108.9840585      176.7229505
     25938.5892440    23040.0000000     6792.5656511        0.0003929       51.6275618       66.9349315       66.5445733       40.1644303
     25939.5892440    24480.0000000     6792.6809526        0.0012772       51.6279429       61.9839567      110.4595421      177.2200555
     25940.5892440    25920.0000000     6792.7899713        0.0004301       51.6283681       57.0329339       64.1218257       44.5886648
     25941.5892440    27360.0000000     6792.9175163        0.0012213       51.6287934       52.0819401      111.8456756      177.8497554
     25942.5892440    28800.0000000     6793.0434824        0.0004720       51.6292716       47.1308928       62.6342050       48.1213888
     25943.5892440    30240.0000000     6793.1830904        0.0011613       51.6297409       42.1798855      113.1156018      178.6389251
     25944.5892440    31680.0000000     6793.3263075        0.0005178       51.6302729       37.2288205       61.9706083       50.8736936
     25945.5892440    33120.0000000     6793.4776797        0.0010972       51.6307852       32.2778055      114.2337215      179.6231831
     25946.5892440    34560.0000000     6793.6382916        0.0005668       51.6313713       27.3267301       62.0099527       52.9666488
     25947.5892440    36000.0000000     6793.8010047        0.0010294       51.6319255       22.3757131      115.1521404      180.8504443
     25948.5892440    37440.0000000     6793.9789732        0.0006183       51.6325654       17.4246349       62.6387546       54.5137231
     25949.5892440    38880.0000000     6794.1524750        0.0009582       51.6331597       12.4736218      115.8053884      182.3862004
     25950.5892440    40320.0000000     6794.3475587        0.0006716       51.6338524        7.5225488       63.7579787       55.6139356
     25951.5892440    41760.0000000     6794.5311633        0.0008841       51.6344847        2.5715454      116.1024560      184.3214834
     25952.2640708    42731.7506064     6792.4532271        0.0003819       51.6275864      359.2389310       46.6572039       60.1173659


 1 25544U 98067A   20355.71938175 +.00001004  00000 0  26195-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6439 145.5065 0001629 149.8755 308.6754 15.4920323026093                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25922.7193818        0.0000000     6791.9827755        0.0003757       51.6248512      145.4990260       85.1269988       13.4274178
     25923.7193818     1440.0000000     6792.0410777        0.0015312       51.6250264      140.5483976      102.5829477      176.7901193
     25924.7193818     2880.0000000     6792.0765618        0.0003805       51.6252204      135.5977422       82.1038937       18.1022033
     25925.7193818     4320.0000000     6792.1448807        0.0014983       51.6254310      130.6470701      104.3254856      176.7166898
     25926.7193818     5760.0000000     6792.1925031        0.0003896       51.6256633      125.6963667       79.0638573       22.8360916
     25927.7193818     7200.0000000     6792.2711326        0.0014610       51.6259107      120.7456547      106.0479685      176.7050479
     25928.7193818     8640.0000000     6792.3315798        0.0004033       51.6261834      115.7949070       76.1567014       27.4792777
     25929.7193818    10080.0000000     6792.4207488        0.0014192       51.6264685      110.8441590      107.7418554      176.7637391
     25930.7193818    11520.0000000     6792.4946617        0.0004217       51.6267835      105.8933710       73.5237614       31.8904308
     25931.7193818    12960.0000000     6792.5945265        0.0013731       51.6271072      100.9425914      109.3967561      176.9031598
     25932.7193818    14400.0000000     6792.6824873        0.0004448       51.6274661       95.9917673       71.2789830       35.9556070
     25933.7193818    15840.0000000     6792.7931250        0.0013225       51.6278288       91.0409607      110.9997888      177.1362006
     25934.7193818    17280.0000000     6792.8956421        0.0004724       51.6282331       86.0901054       69.4984365       39.5987353
     25935.7193818    18720.0000000     6793.0170437        0.0012677       51.6286351       81.1392764      112.5346974      177.4791276
     25936.7193818    20160.0000000     6793.1345365        0.0005041       51.6290859       76.1883952       68.2194212       42.7825132
     25937.7193818    21600.0000000     6793.2666003        0.0012086       51.6295270       71.2375487      113.9806196      177.9528156
     25938.7193818    23040.0000000     6793.3993823        0.0005395       51.6300252       66.2866472       67.4465322       45.5023400
     25939.7193818    24480.0000000     6793.5419083        0.0011455       51.6305050       61.3357882      115.3103297      178.5845040
     25940.7193818    25920.0000000     6793.6901701        0.0005782       51.6310509       56.3848723       67.1607595       47.7772183
     25941.7193818    27360.0000000     6793.8428546        0.0010785       51.6315685       51.4340060      116.4876859      179.4103505
     25942.7193818    28800.0000000     6794.0066458        0.0006198       51.6321623       46.4830821       67.3284762       49.6407648
     25943.7193818    30240.0000000     6794.1690769        0.0010079       51.6327164       41.5322136      117.4638440      180.4792165
     25944.7193818    31680.0000000     6794.3482881        0.0006637       51.6333575       36.5812885       67.9086791       51.1339714
     25945.7193818    33120.0000000     6794.5199415        0.0009340       51.6339464       31.6304230      118.1715253      181.8583995
     25946.7193818    34560.0000000     6794.7142866        0.0007095       51.6346339       26.6795035       68.8580688       52.3001240
     25947.7193818    36000.0000000     6794.8945226        0.0008574       51.6352555       21.7286461      118.5161753      183.6424742
     25948.7193818    37440.0000000     6795.1035213        0.0007567       51.6359877       16.7777394       70.1342254       53.1816275
     25949.7193818    38880.0000000     6795.2915823        0.0007787       51.6366395       11.8268952      118.3621202      185.9671361
     25950.7193818    40320.0000000     6795.5145439        0.0008050       51.6374140        6.8760085       71.6973619       53.8182528
     25951.7193818    41760.0000000     6795.7095529        0.0006989       51.6380930        1.9251824      117.5108166      189.0309512
     25952.2640708    42544.3522320     6792.4405380        0.0003770       51.6272109      359.2390841       45.1583499       61.4187724


 1 25544U 98067A   20355.85791660 +.00001128  00000 0  28428-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6443 144.8215 0001564 146.1084   5.5825 15.4920448626095                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25922.8579166        0.0000000     6801.0050444        0.0014853       51.6553173      144.8003212      108.4135298       43.3758457
     25923.8579166     1440.0000000     6801.0974060        0.0005322       51.6556896      139.8507397       65.2257173      267.2104376
     25924.8579166     2880.0000000     6801.2696258        0.0014855       51.6562604      134.9013383      110.8123618       42.6360599
     25925.8579166     4320.0000000     6801.3613316        0.0005386       51.6566303      129.9517497       60.7743013      273.3445938
     25926.8579166     5760.0000000     6801.5293930        0.0014828       51.6571875      125.0023555      113.2146005       41.9383262
     25927.8579166     7200.0000000     6801.6196583        0.0005522       51.6575522      120.0527612       56.4104215      279.4367227
     25928.8579166     8640.0000000     6801.7823013        0.0014770       51.6580919      115.1033751      115.6171984       41.2857110
     25929.8579166    10080.0000000     6801.8702748        0.0005730       51.6584482      110.1537763       52.3298248      285.2910777
     25930.8579166    11520.0000000     6802.0261689        0.0014679       51.6589663      105.2043986      118.0168605       40.6815272
     25931.8579166    12960.0000000     6802.1109352        0.0006009       51.6593109      100.2547962       48.6936682      290.7465035
     25932.8579166    14400.0000000     6802.2586852        0.0014554       51.6598030       95.3054270      120.4099220       40.1294564
     25933.8579166    15840.0000000     6802.3392683        0.0006351       51.6601322       90.3558215       45.6097585      295.6951970
     25934.8579166    17280.0000000     6802.4774217        0.0014394       51.6605939       85.4064602      122.7921988       39.6336984
     25935.8579166    18720.0000000     6802.5527895        0.0006747       51.6609041       80.4568516       43.1302355      300.0850237
     25936.8579166    20160.0000000     6802.6798462        0.0014196       51.6613307       75.5074972      125.1588018       39.1991569
     25937.8579166    21600.0000000     6802.7489163        0.0007189       51.6616178       70.5578852       41.2612669      303.9098237
     25938.8579166    23040.0000000     6802.8633399        0.0013958       51.6620046       65.6085360      127.5039003       38.8316761
     25939.8579166    24480.0000000     6802.9249868        0.0007665       51.6622645       60.6589197       39.9775031      307.1949562
     25940.8579166    25920.0000000     6803.0252182        0.0013680       51.6626066       55.7095733      129.8204183       38.5383445
     25941.8579166    27360.0000000     6803.0782820        0.0008167       51.6628352       50.7599513       39.2357395      309.9836379
     25942.8579166    28800.0000000     6803.1627558        0.0013358       51.6631278       45.8106049      132.0996344       38.3278945
     25943.8579166    30240.0000000     6803.2060518        0.0008684       51.6633208       40.8609750       38.9852531      312.3266057
     25944.8579166    31680.0000000     6803.2732143        0.0012993       51.6635590       35.9116248      134.3306484       38.2112368
     25945.8579166    33120.0000000     6803.3055445        0.0009207       51.6637121       30.9619845       39.1745064      314.2754135
     25946.8579166    34560.0000000     6803.3538747        0.0012583       51.6638911       26.0126260      136.4996543       38.2021868
     25947.8579166    36000.0000000     6803.3740408        0.0009729       51.6640001       21.0629718       39.7549316      315.8786477
     25948.8579166    37440.0000000     6803.4020735        0.0012126       51.6641152       16.1135999      138.5889334       38.3184717
     25949.8579166    38880.0000000     6803.4088909        0.0010242       51.6641759       11.1639278       40.6827173      317.1801403
     25950.8579166    40320.0000000     6803.4152417        0.0011621       51.6642229        6.2145362      140.5754307       38.5831541
     25951.8579166    41760.0000000     6803.4075560        0.0010737       51.6642313        1.2648416       41.9193730      318.2184045
     25952.2640708    42344.8620480     6792.4714135        0.0003877       51.6277944      359.2397726       47.6234794       59.4301507


 1 25544U 98067A   20355.91976012 +.00001142  00000 0  28686-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6443 144.5153 0001563 145.8662 350.9626 15.4920478626096                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25922.9197601        0.0000000     6798.0920576        0.0012737       51.6456195      144.4899405       92.0781080       44.8315796
     25923.9197601     1440.0000000     6798.2198533        0.0006394       51.6460958      139.5400817      108.3211814      209.2752163
     25924.9197601     2880.0000000     6798.4189889        0.0012883       51.6467707      134.5902441       94.3865233       44.1855540
     25925.9197601     4320.0000000     6798.5499483        0.0005850       51.6472596      129.6403759      106.5232003      212.7581523
     25926.9197601     5760.0000000     6798.7528690        0.0013015       51.6479450      124.6905450       96.6975682       43.5828461
     25927.9197601     7200.0000000     6798.8864017        0.0005316       51.6484443      119.7406703      103.7332094      217.2789482
     25928.9197601     8640.0000000     6799.0921807        0.0013131       51.6491374      114.7908495       99.0109620       43.0237524
     25929.9197601    10080.0000000     6799.2276142        0.0004812       51.6496447      109.8409714       99.6349987      223.1538141
     25930.9197601    11520.0000000     6799.4352051        0.0013230       51.6503422      104.8911637      101.3263511       42.5086403
     25931.9197601    12960.0000000     6799.5717834        0.0004367       51.6508547       99.9412848       93.8845932      230.7267269
     25932.9197601    14400.0000000     6799.7800176        0.0013310       51.6515531       94.9914933      103.6432328       42.0380250
     25933.9197601    15840.0000000     6799.9169012        0.0004020       51.6520676       90.0416162       86.2414711      240.2382128
     25934.9197601    17280.0000000     6800.1244857        0.0013370       51.6527628       85.0918435      105.9608707       41.6126537
