 HQ AFSPC Sgp4Prop DLL - Version: v8.0 - Build: Nov 05 2020 - Platform: Windows 64-bit                                          


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME

INPUT FILE = C:\Users\rober\Documents\MATLAB\ASTRAIOS\ASTRAIOS/historicTLE.txt
Start Time =         0.0000 min from epoch
Stop Time  =      1440.0000 min from epoch
Step size  =       360.0000 min


     EPOCH (MIN)     TSINCE (MIN)           X (KM)           Y (KM)           Z (KM)      XDOT (KM/S)       YDOT(KM/S)    ZDOT (KM/SEC)


 1 25544U 98067A   20355.58924399 +.00001054  00000 0  27090-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6442 146.1501 0001581 146.7873 305.4906 15.4920323426091                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25922.5892440        0.0000000    -2122.9865267    -3647.4020205     5318.4823198        6.4643976       -4.1089116       -0.2381767
     25923.5892440     1440.0000000     2354.9381717     3517.3475478    -5324.9309886       -6.1131409        4.5858346        0.3244652
     25924.5892440     2880.0000000    -2572.8034194    -3358.5308192     5310.2750796        5.7475341       -5.0521191       -0.4109796
     25925.5892440     4320.0000000     2787.7062934     3202.9949217    -5314.1618373       -5.3272938        5.4661648        0.4988627
     25926.5892440     5760.0000000    -2984.9739756    -3021.3067331     5297.2716438        4.8948713       -5.8668621       -0.5879771
     25927.5892440     7200.0000000     3180.8405326     2842.2000894    -5298.4255212       -4.4170545        6.2081588        0.6773454
     25928.5892440     8640.0000000    -3355.9179739    -2640.0131050     5279.1244677        3.9297280       -6.5337603       -0.7689823
     25929.5892440    10080.0000000     3530.8767991     2439.1882333    -5277.3786546       -3.4071516        6.7945136        0.8597172
     25930.5892440    11520.0000000    -3682.3505813    -2218.7678910     5255.4830459        2.8781900       -7.0376842       -0.9537834
     25931.5892440    12960.0000000     3834.5684236     1998.0453775    -5250.6756574       -2.3247031        7.2123818        1.0457565
     25932.5892440    14400.0000000    -3961.1225630    -1761.5657892     5225.9952067        1.7683349       -7.3681579       -1.1421422
     25933.5892440    15840.0000000     4088.7410333     1522.7857548    -5217.9700082       -1.1984092        7.4537057        1.2352155
     25934.5892440    17280.0000000    -4189.0874432    -1272.3705562     5190.3085313        0.6293944       -7.5196212       -1.3337934
     25935.5892440    18720.0000000     4290.1808357     1017.4646172    -5178.9156189       -0.0576963        7.5154053        1.4278185
     25936.5892440    20160.0000000    -4363.0083228     -755.2487464     5148.0718995       -0.5091187       -7.4915382       -1.5284428
     25937.5892440    21600.0000000     4435.5677213      486.3262265    -5133.1683365        1.0681617        7.3994104        1.6232612
     25938.5892440    23040.0000000    -4479.5147052     -214.5331550     5098.9371647       -1.6182930       -7.2883495       -1.7257668
     25939.5892440    24480.0000000     4521.4619065      -66.0258720    -5080.3875772        2.1509167        7.1125345        1.8212093
     25940.5892440    25920.0000000    -4535.1166627      344.9981303     5042.5609614       -2.6706784       -6.9192643       -1.9254106
     25941.5892440    27360.0000000     4544.3495633     -634.4511640    -5020.2380932        3.1641834        6.6661926        2.0212974
     25942.5892440    28800.0000000    -4526.2801259      917.9428210     4978.6066452       -3.6410967       -6.3979006       -2.1269879
     25943.5892440    30240.0000000     4500.7491762    -1213.1031450    -4952.3918782        4.0842128        6.0759700        2.2231282
     25944.5892440    31680.0000000    -4449.5631731     1498.1122273     4906.7463662       -4.5073725       -5.7417811       -2.3300796
     25945.5892440    33120.0000000     4387.3763989    -1795.2853697    -4876.5302110        4.8905739        5.3610563        2.4262716
     25946.5892440    34560.0000000    -4301.8091089     2078.4022249     4826.6632761       -5.2509599       -4.9717035       -2.5342330
     25947.5892440    36000.0000000     4201.3611563    -2373.3483786    -4792.3458382        5.5667182        4.5435620        2.6302638
     25948.5892440    37440.0000000    -4080.3880796     2650.7127850     4738.0538662       -5.8574401       -4.1110044       -2.7389617
     25949.5892440    38880.0000000     3940.5068583    -2938.6417702    -4699.5452970        6.1004069        3.6477426        2.8346071
     25950.5892440    40320.0000000    -3783.4751854     3205.9294490     4640.6304356       -6.3168712       -3.1847440       -2.9437443
     25951.5892440    41760.0000000     3603.5780808    -3481.5332378    -4597.8513748        6.4839834        2.6991563        3.0387690
     25952.2640708    42731.7506064    -1906.1885334     4062.0389811     5097.6604362       -7.3541989       -1.2736221       -1.7317283


 1 25544U 98067A   20355.71938175 +.00001004  00000 0  26195-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6439 145.5065 0001629 149.8755 308.6754 15.4920323026093                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25922.7193818        0.0000000    -1528.5876248    -4007.0310687     5263.5010076        6.6460862       -3.7096737       -0.8931536
     25923.7193818     1440.0000000     1792.1218002     3921.2506456    -5261.6609148       -6.3186519        4.1987079        0.9761033
     25924.7193818     2880.0000000    -2043.0312651    -3805.5097713     5238.6119075        5.9780395       -4.6754585       -1.0638374
     25925.7193818     4320.0000000     2296.0497243     3688.3657445    -5234.0677465       -5.5802815        5.1041818        1.1480581
     25926.7193818     5760.0000000    -2532.6416241    -3543.6118757     5208.5786071        5.1716549       -5.5180401       -1.2379536
     25927.7193818     7200.0000000     2772.0432135     3396.0494962    -5201.1778942       -4.7147910        5.8764851        1.3233261
     25928.7193818     8640.0000000    -2991.5628812    -3223.7388537     5173.0855383        4.2498536       -6.2178528       -1.4152771
     25929.7193818    10080.0000000     3214.2187901     3046.8577311    -5162.6812646       -3.7465002        6.4981395        1.5016732
     25930.7193818    11520.0000000    -3413.9563486    -2848.5608398     5131.8170193        3.2383028       -6.7595984       -1.5955584
     25931.7193818    12960.0000000     3616.6728850     2643.6630353    -5118.2683804       -2.7020872        6.9561302        1.6828413
     25932.7193818    14400.0000000    -3793.9238488    -2421.1006803     5084.4586052        2.1646219       -7.1326336       -1.7785231
     25933.7193818    15840.0000000     3973.4233573     2189.7561844    -5067.6316817       -1.6097677        7.2422229        1.8665467
     25934.7193818    17280.0000000    -4125.4646304    -1944.8521554     5030.6985495        1.0575335       -7.3312107       -1.9638706
     25935.7193818    18720.0000000     4278.3894828     1688.9764097    -5010.4669346       -0.4984290        7.3531272        2.0524793
     25936.7193818    20160.0000000    -4402.4754216    -1423.9224900     4970.2293777       -0.0540166       -7.3545606       -2.1512730
     25937.7193818    21600.0000000     4525.4185999     1145.8594113    -4946.4747540        0.6032495        7.2905027        2.2403021
     25938.7193818    23040.0000000    -4618.8006520     -863.1869254     4902.7495735       -1.1417379       -7.2068169       -2.3403748
     25939.7193818    24480.0000000     4708.3647585      565.7900413    -4875.3622402        1.6676627        7.0608049        2.4296498
     25940.7193818    25920.0000000    -4768.3367631     -268.4414017     4827.9653790       -2.1788451       -6.8967800       -2.5307915
     25941.7193818    27360.0000000     4821.2214213      -44.8547317    -4796.8447327        2.6691019        6.6749759        2.6201283
     25942.7193818    28800.0000000    -4845.1910227      353.4615775     4745.5927077       -3.1408481       -6.4375312       -2.7221093
     25943.7193818    30240.0000000     4858.3066679     -678.5874923    -4710.6476809        3.5845041        6.1479897        2.8113141
     25944.7193818    31680.0000000    -4843.8915251      994.5089715     4655.3591688       -4.0062557       -5.8459072       -2.9138848
     25945.7193818    33120.0000000     4814.4956373    -1326.7312773    -4616.5086336        4.3941020        5.4982679        3.0027538
     25946.7193818    34560.0000000    -4759.6412937     1645.4694506     4557.0062023       -4.7571662       -5.1418551       -3.1056437
     25947.7193818    36000.0000000     4685.4912943    -1979.3930945    -4514.1793435        5.0819509        4.7469859        3.1939633
     25948.7193818    37440.0000000    -4588.6058061     2295.8945657     4450.2913196       -5.3797247       -4.3476903       -3.2968816
     25949.7193818    38880.0000000     4468.1212428    -2625.5013887    -4403.4279877        5.6363137        3.9172953        3.3844281
     25950.7193818    40320.0000000    -4328.2200416     2934.1890438     4334.9904482       -5.8644287       -3.4872845       -3.4870628
     25951.7193818    41760.0000000     4160.6454076    -3252.9159175    -4284.0414983        6.0498885        3.0334912        3.5736028
     25952.2640708    42544.3522320    -1883.7418836     4065.9707686     5102.9399680       -7.3614888       -1.2578398       -1.7118725


 1 25544U 98067A   20355.85791660 +.00001128  00000 0  28428-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6443 144.8215 0001564 146.1084   5.5825 15.4920448626095                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25922.8579166        0.0000000     3743.5507972    -5078.9387090     2518.7228131        5.3798580        1.3295855       -5.2938871
     25923.8579166     1440.0000000    -3349.6786283     5379.9868793    -2468.3375355       -5.4204034       -0.9372918        5.3240975
     25924.8579166     2880.0000000     2955.4105508    -5634.5896746     2381.8217116        5.4341094        0.5692339       -5.3741608
     25925.8579166     4320.0000000    -2517.4326170     5873.3866659    -2328.3995218       -5.4200017       -0.1857113        5.4035953
     25926.8579166     5760.0000000     2085.6644114    -6065.9074353     2239.0821822        5.3834734       -0.1699212       -5.4519228
     25927.8579166     7200.0000000    -1613.5108456     6235.9072624    -2182.5833146       -5.3189178        0.5373627        5.4804021
     25928.8579166     8640.0000000     1154.1591032    -6360.7703517     2090.4635545        5.2367977       -0.8741070       -5.5267193
     25929.8579166    10080.0000000     -658.7721038     6457.0157386    -2030.8608130       -5.1268977        1.2193373        5.5540557
     25930.8579166    11520.0000000      182.6219414    -6510.2454384     1935.9436881        5.0045630       -1.5319532       -5.5980792
     25931.8579166    12960.0000000      324.2974573     6529.5370790    -1873.2233916       -4.8550399        1.8501121        5.6240764
     25932.8579166    14400.0000000     -805.8525874    -6508.9050708     1775.5207973        4.6983193       -2.1346423       -5.6655155
     25933.8579166    15840.0000000     1312.1293245     6449.9309123    -1709.6836690       -4.5152278        2.4221684        5.6899686
     25934.8579166    17280.0000000    -1787.3757448    -6355.0610591     1609.2153157        4.3301195       -2.6759362       -5.7285252
     25935.8579166    18720.0000000     2280.6708995     6218.4790160    -1540.2773132       -4.1195724        2.9305355        5.7512210
     25936.8579166    20160.0000000    -2737.8836793    -6050.9036607     1437.0717929        3.9119771       -3.1520833       -5.7865910
     25937.8579166    21600.0000000     3206.0222777     5839.3721181    -1365.0648768       -3.6798910        3.3726417        5.8073081
     25938.8579166    23040.0000000    -3633.7867067    -5602.5352308     1259.1608118        3.4553712       -3.5616156       -5.8391819
     25939.8579166    24480.0000000     4065.0940918     5320.6870050    -1184.1336520       -3.2072456        3.7480616        5.8576909
     25940.8579166    25920.0000000    -4452.6301907    -5019.8909966     1075.5809182        2.9708234       -3.9050486       -5.8857548
     25941.8579166    27360.0000000     4836.2667529     4674.2480648     -997.5995367       -2.7115615        4.0581752        5.9018185
     25942.8579166    28800.0000000    -5173.7465182    -4316.5428287      886.4605477        2.4675630       -4.1845037       -5.9257559
     25943.8579166    30240.0000000     5500.0297699     3915.3710821     -805.6088993       -2.2013423        4.3057608        5.9391298
     25944.8579166    31680.0000000    -5778.8763385    -3509.3857867      691.9599390        1.9532961       -4.4032764       -5.9586226
     25945.8579166    33120.0000000     6039.5788940     3062.4912323     -608.3404299       -1.6834937        4.4945444        5.9690553
     25946.8579166    34560.0000000    -6252.7366888    -2618.2115059      492.2730158        1.4340876       -4.5653723       -5.9837852
     25947.8579166    36000.0000000     6441.3487404     2136.6816660     -406.0069639       -1.1632623        4.6287317        5.9910190
     25948.8579166    37440.0000000    -6583.5139636    -1665.1770127      287.6292249        0.9143582       -4.6750419       -6.0006693
     25949.8579166    38880.0000000     6695.4593737     1161.0736406     -198.8572608       -0.6442894        4.7125496        6.0044407
     25950.8579166    40320.0000000    -6763.2609761     -674.1821173       78.2953090        0.3969967       -4.7363366       -6.0086984
     25951.8579166    41760.0000000     6796.0571509      160.1936587       12.8222760       -0.1287750        4.7498245        6.0087388
     25952.2640708    42344.8620480    -1937.9622767     4056.4217715     5090.1087899       -7.3436771       -1.2960261       -1.7597213


 1 25544U 98067A   20355.91976012 +.00001142  00000 0  28686-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6443 144.5153 0001563 145.8662 350.9626 15.4920478626096                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25922.9197601        0.0000000     2365.1534645    -5224.6913394     3638.5685963        6.2817412       -0.2193591       -4.3854235
     25923.9197601     1440.0000000    -1974.5785355     5424.9166800    -3597.0365462       -6.2013913        0.6789835        4.4327737
     25924.9197601     2880.0000000     1589.2615096    -5584.4652573     3524.3530984        6.1011128       -1.1138226       -4.5028596
     25925.9197601     4320.0000000    -1168.7149226     5726.4137650    -3479.6629744       -5.9563492        1.5463470        4.5500913
     25926.9197601     5760.0000000      759.0192287    -5828.6617293     3403.8864410        5.7958658       -1.9510554       -4.6195872
